itin_id,line_id,ship_ids,name,slug,dest,dest_label,port_slug,port_label,nights,sail_months,price_interior,price_balcony,month_price_overrides,taxes_note,season_note,private_island,quad_cabins,date_checked,source,page_targets,featured,notes
i0001,rci,s014;s015,7-Night Perfect Day Bahamas from New York,7n-bahamas-perfect-day-cape-liberty,bahamas,Bahamas,cape-liberty,Cape Liberty (New York area) NJ,7,2026-09;2026-10;2027-02;2027-08,899,1349,2027-02:i829|b1249,Plus taxes fees and port expenses,Fall and winter sailings usually price lower than summer; northern departure means 2 sea days each way,yes,yes,2026-07-28,seed-example-VERIFY-BEFORE-PUBLISH,itin:7n-bahamas-perfect-day-cape-liberty;line:royal-caribbean;port:cape-liberty;dest:bahamas;combo:royal-caribbean-cape-liberty;aud:family;dur:6-8,yes,Worked example - verify prices before publishing
i0002,rci,s001,7-Night Western Caribbean & Perfect Day,7n-west-caribbean-icon-miami,western-caribbean,Western Caribbean,miami,Miami FL,7,year-round,983,1589,,Plus taxes fees and port expenses,Late Aug-early Dec lowest outside holidays,yes,yes,2026-07-27,public-site,itin:7n-west-caribbean-icon-miami;ship:icon-of-the-seas;line:royal-caribbean;port:miami;dest:western-caribbean;combo:royal-caribbean-miami;aud:family,yes,
i0003,rci,s001,6-Night Western Caribbean,6n-west-caribbean-icon-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,6,2027-08;2027-09;2027-10,1339,1023,2027-08:i1527|b1688|2027-09:i1597|b1023|2027-10:i1339|b1501,Taxes and fees included in the listed fare,Icon sails this route from Galveston Aug-Oct 2027,no,,2026-08-05,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,itin:6n-west-caribbean-icon-galveston;ship:icon-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston,yes,"Re-verified 2026-07-29 on royalcaribbean.com (pkg IC06W319, 7 sailings): sail months corrected from 2026-09..11 to 2027-08..10; ports Cozumel, Roatan, Costa Maya; prices refreshed 2026-08-02 from the official cruiseSearch response (two independent queries agree to the cent), so the stale-seed caveat is closed; quad_cabins cleared, not shown in search data"
i0004,rci,s001,8-Night Perfect Day CocoCay & West Caribbean,8n-cococay-west-caribbean-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,8,2027-08;2027-09;2027-10;2027-11,1757,1978,2027-08:i1946|b2168|2027-09:i1896|b1978|2027-10:i1757|b2019|2027-11:i1965|b2178,Taxes and fees included in the listed fare,Sails Aug-Nov 2027 from Galveston,yes,,2026-08-05,https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,itin:8n-cococay-west-caribbean-galveston;ship:icon-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston,no,"Re-verified 2026-07-29 on royalcaribbean.com (pkg IC08W072, 6 sailings): sail months corrected from 2026-09;2026-12 to 2027-08..11; ports Cozumel, Costa Maya, Perfect Day CocoCay; prices refreshed 2026-08-02 from the official cruiseSearch response (two independent queries agree to the cent), so the stale-seed caveat is closed; quad_cabins cleared, not shown in search data"
i0005,rci,s016,5-Night Western Caribbean,5n-west-caribbean-mariner-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,5,2026-08;2026-09;2026-10,379,760,2026-08:i514|b900|2026-09:i379|b760|2026-10:i418|b768,Taxes and fees included in the listed fare,Mariner sails this route Aug-Oct 2026,no,,2026-08-05,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,itin:5n-west-caribbean-mariner-galveston;ship:mariner-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston;dur:4-5,no,"Verified 2026-07-29 royalcaribbean.com cruise search data (pkg MA05W679, 11 sailings); ports Costa Maya, Cozumel; quad occupancy not shown"
i0006,rci,s017,5-Night Western Caribbean,5n-west-caribbean-liberty-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,5,year-round,452,648,2026-10:i452|b848|2026-11:i494|b748|2026-12:i495|b768|2027-01:i510|b648|2027-02:i477|b778|2027-03:i573|b809|2027-04:i525|b868|2027-05:i643|b840|2027-06:i816|b1077|2027-07:i813|b1010|2027-08:i479|b730|2027-09:i473|b723|2027-10:i473|b756|2027-11:i472|b722|2027-12:i472|b722|2028-01:i474|b724|2028-02:i578|b881|2028-03:i668|b941|2028-04:i621|b903,Taxes and fees included in the listed fare,Sails continuously Oct 2026 through Apr 2028,no,,2026-08-05,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-liberty-LB05W648?sailDate=2026-12-07&packageCode=LB05W648&groupId=LB05GAL-2956042566&country=USA,itin:5n-west-caribbean-liberty-galveston;ship:liberty-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston;dur:4-5,no,"Verified 2026-07-29 royalcaribbean.com cruise search data (pkg LB05W648, 70 sailings 2026-10 to 2028-04); ports Costa Maya, Cozumel; quad occupancy not shown"
i0007,rci,s017,4-Night Western Caribbean,4n-west-caribbean-liberty-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,4,year-round,449,699,2026-11:i507|b821|2026-12:i592|b856|2027-01:i657|b771|2027-02:i554|b759|2027-03:i524|b807|2027-04:i556|b874|2027-05:i605|b839|2027-06:i721|b966|2027-07:i699|b914|2027-08:i469|b720|2027-09:i449|b699|2027-10:i449|b699|2027-11:i450|b700|2027-12:i450|b700|2028-01:i450|b700|2028-02:i562|b874|2028-03:i572|b895|2028-04:i592|b921,Taxes and fees included in the listed fare,Sails continuously Nov 2026 through Apr 2028,no,,2026-08-05,https://www.royalcaribbean.com/itinerary/4-night-western-caribbean-cruise-from-galveston-on-liberty-LB04W201?sailDate=2026-11-05&packageCode=LB04W201&groupId=LB04GAL-597171099&country=USA,itin:4n-west-caribbean-liberty-galveston;ship:liberty-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston;dur:4-5,no,"Verified 2026-07-29 royalcaribbean.com cruise search data (pkg LB04W201, 39 sailings 2026-11 to 2028-04); single call at Cozumel; quad occupancy not shown"
i0008,rci,s016,4-Night Western Caribbean,4n-west-caribbean-mariner-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,4,2026-08;2026-09;2026-10,484,732,2026-08:b921|2026-09:i649|b1190|2026-10:i484|b732,Taxes and fees included in the listed fare,Mariner sails this route Aug-Oct 2026,no,,2026-08-05,https://www.royalcaribbean.com/itinerary/4-night-western-caribbean-cruise-from-galveston-on-mariner-MA04W207?sailDate=2026-10-26&packageCode=MA04W207&groupId=MA04GAL-597171001&country=USA,itin:4n-west-caribbean-mariner-galveston;ship:mariner-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston;dur:4-5,no,"Verified 2026-07-29 royalcaribbean.com cruise search data (pkg MA04W207, 7 sailings); single call at Cozumel; quad occupancy not shown; HOLD: fare unstable at source - 2026-08 interior floor has returned four different values in four official fetches (590.14 on 2026-07-29 11:33, 750.64 on 2026-07-29 18:18, 644.14 on 2026-07-30 16:00, 860.64 on 2026-08-02 12:55 and again on the independent 13:07 ship:MA confirmation). 2026-08-02 re-test: the two fetches AGREE to the cent, but 860.64 is +33.6% on the last confirmed 644.14 in three days, and on the 2026-08-27 sailing the interior fare (860.64) now sits ABOVE that sailing's ocean-view fare (800.64), which is internally inconsistent at the source. Not close enough to clear; marker kept, so the sailing publishes and the number is withheld. Stored values are verified at source today. | 2026-08-05: both Aug sailings now return INTERIOR null at source (after 590/751/644/861 across four fetches) and 2026-09 balcony +40%. HOLD kept."
i0009,rci,s018,6-Night Western Caribbean,6n-west-caribbean-symphony-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,6,2026-08;2026-09;2026-10;2027-05;2027-06;2027-07,654,756,2026-08:b979|2026-09:i654|b849|2026-10:i693|b756|2027-05:i701|b864|2027-06:i962|b1134|2027-07:i921|b1094,Taxes and fees included in the listed fare,Two seasons: fall 2026 and summer 2027,no,,2026-08-05,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-symphony-SY06W287?sailDate=2026-09-20&packageCode=SY06W287&groupId=SY06GAL-1251154330&country=USA,itin:6n-west-caribbean-symphony-galveston;ship:symphony-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston;dur:6-8,no,"Verified 2026-07-29 royalcaribbean.com cruise search data (pkg SY06W287, 12 sailings); ports Costa Maya, Roatan, Cozumel; quad occupancy not shown"
i0010,rci,s018,7-Night Western Caribbean,7n-west-caribbean-symphony-galveston,western-caribbean,Western Caribbean,galveston,Galveston TX,7,2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04,679,743,2026-10:i679|b799|2026-11:i682|b743|2026-12:i700|b797|2027-01:i686|b788|2027-02:i765|b908|2027-03:i844|b877|2027-04:i808|b1001,Taxes and fees included in the listed fare,Fall-winter 2026-27 season,no,,2026-08-05,https://www.royalcaribbean.com/itinerary/7-night-western-caribbean-cruise-from-galveston-on-symphony-SY07W705?sailDate=2026-12-06&packageCode=SY07W705&groupId=SY07GAL-3851841824&country=USA,itin:7n-west-caribbean-symphony-galveston;ship:symphony-of-the-seas;line:royal-caribbean;port:galveston;dest:western-caribbean;combo:royal-caribbean-galveston;dur:6-8,no,"Verified 2026-07-29 royalcaribbean.com cruise search data (pkg SY07W705, 28 sailings); ports Roatan, Costa Maya, Cozumel; quad occupancy not shown"
